Tanggal;Harga
01/12/2022;34.210
02/12/2022;34.420
03/12/2022;34.280
04/12/2022;34.510
05/12/2022;34.510
06/12/2022;34.600
07/12/2022;34.940
08/12/2022;34.880
09/12/2022;35.020
10/12/2022;34.860
11/12/2022;34.960
12/12/2022;35.050
13/12/2022;34.990
14/12/2022;35.310
15/12/2022;35.460
16/12/2022;35.710
17/12/2022;35.580
18/12/2022;35.710
19/12/2022;35.670
20/12/2022;35.650
21/12/2022;35.700
22/12/2022;35.790
23/12/2022;35.750
24/12/2022;35.580
25/12/2022;35.130
26/12/2022;35.350
27/12/2022;35.400
28/12/2022;35.530
29/12/2022;35.400
30/12/2022;35.370
31/12/2022;35.440
01/01/2023;35.200
02/01/2023;35.720
03/01/2023;35.710
04/01/2023;36.090
05/01/2023;36.210
06/01/2023;36.200
07/01/2023;36.270
08/01/2023;36.390
09/01/2023;37.470
10/01/2023;37.280
11/01/2023;37.310
12/01/2023;37.450
13/01/2023;37.610
14/01/2023;37.600
15/01/2023;37.790
16/01/2023;37.700
17/01/2023;37.900
18/01/2023;38.100
19/01/2023;37.780
20/01/2023;38.000
21/01/2023;38.200
22/01/2023;37.870
23/01/2023;38.080
24/01/2023;38.320
25/01/2023;38.550
26/01/2023;38.580
27/01/2023;38.590
28/01/2023;38.840
29/01/2023;39.030
30/01/2023;39.090
31/01/2023;39.360
01/02/2023;39.410
02/02/2023;39.630
03/02/2023;39.760
04/02/2023;40.020
05/02/2023;40.050
06/02/2023;40.330
07/02/2023;40.510
08/02/2023;40.700
09/02/2023;40.680
10/02/2023;40.550
11/02/2023;40.230
12/02/2023;40.130
13/02/2023;39.870
14/02/2023;39.420
15/02/2023;39.340
16/02/2023;38.670
17/02/2023;38.370
18/02/2023;38.280
19/02/2023;37.820
20/02/2023;37.630
21/02/2023;37.180
22/02/2023;37.050
23/02/2023;36.610
24/02/2023;36.520
25/02/2023;36.530
26/02/2023;36.270
27/02/2023;35.980
28/02/2023;35.790
01/03/2023;35.750
02/03/2023;35.550
03/03/2023;35.460
04/03/2023;35.470
05/03/2023;35.420
06/03/2023;35.630
07/03/2023;35.690
08/03/2023;35.880
09/03/2023;35.740
10/03/2023;35.820
11/03/2023;35.740
12/03/2023;35.780
13/03/2023;35.900
14/03/2023;35.560
15/03/2023;35.650
16/03/2023;35.480
17/03/2023;35.530
18/03/2023;35.460
19/03/2023;35.310
20/03/2023;35.280
21/03/2023;35.460
22/03/2023;35.480
23/03/2023;35.260
24/03/2023;35.170
25/03/2023;35.070
26/03/2023;35.180
27/03/2023;35.100
28/03/2023;34.990
29/03/2023;34.970
30/03/2023;34.540
31/03/2023;34.500
01/04/2023;34.250
02/04/2023;33.880
03/04/2023;33.930
04/04/2023;33.810
05/04/2023;33.810
06/04/2023;
07/04/2023;33.350
08/04/2023;33.440
09/04/2023;33.430
10/04/2023;33.400
11/04/2023;33.500
12/04/2023;33.440
13/04/2023;33.390
14/04/2023;33.390
15/04/2023;33.590
16/04/2023;33.420
17/04/2023;33.930
18/04/2023;34.380
19/04/2023;34.760
20/04/2023;35.190
21/04/2023;35.980
22/04/2023;35.090
23/04/2023;35.350
24/04/2023;35.680
25/04/2023;35.570
26/04/2023;36.180
27/04/2023;36.310
28/04/2023;36.860
29/04/2023;37.050
30/04/2023;37.050
01/05/2023;37.110
02/05/2023;37.450
03/05/2023;37.850
04/05/2023;38.150
05/05/2023;38.120
06/05/2023;38.350
07/05/2023;38.360
08/05/2023;39.040
09/05/2023;38.800
10/05/2023;39.160
11/05/2023;39.040
12/05/2023;39.010
13/05/2023;39.130
14/05/2023;38.910
15/05/2023;38.890
16/05/2023;38.770
17/05/2023;38.760
18/05/2023;38.620
19/05/2023;38.630
20/05/2023;38.470
21/05/2023;38.450
22/05/2023;38.150
23/05/2023;38.070
24/05/2023;38.160
25/05/2023;37.810
26/05/2023;37.830
27/05/2023;37.900
28/05/2023;37.880
29/05/2023;37.650
30/05/2023;37.530
31/05/2023;37.370
01/06/2023;37.180
02/06/2023;37.040
03/06/2023;37.120
04/06/2023;37.180
05/06/2023;36.910
06/06/2023;36.850
07/06/2023;36.630
08/06/2023;37.060
09/06/2023;37.010
10/06/2023;37.110
11/06/2023;37.120
12/06/2023;37.210
13/06/2023;37.410
14/06/2023;37.380
15/06/2023;37.500
16/06/2023;37.530
17/06/2023;37.520
18/06/2023;37.520
19/06/2023;37.700
20/06/2023;37.580
21/06/2023;37.780
22/06/2023;37.850
23/06/2023;37.840
24/06/2023;37.930
25/06/2023;38.030
26/06/2023;38.280
27/06/2023;38.300
28/06/2023;38.820
29/06/2023;38.480
30/06/2023;38.210
01/07/2023;38.570
02/07/2023;38.680
03/07/2023;38.720
04/07/2023;38.690
05/07/2023;38.520
06/07/2023;38.470
07/07/2023;38.450
08/07/2023;37.930
09/07/2023;37.940
10/07/2023;37.760
11/07/2023;37.340
12/07/2023;37.140
13/07/2023;36.630
14/07/2023;36.210
15/07/2023;35.950
16/07/2023;35.720
17/07/2023;35.220
18/07/2023;34.760
19/07/2023;34.360
20/07/2023;34.150
21/07/2023;33.600
22/07/2023;33.300
23/07/2023;33.300
24/07/2023;32.890
25/07/2023;32.350
26/07/2023;32.100
27/07/2023;31.660
28/07/2023;31.540
29/07/2023;31.470
30/07/2023;31.300
31/07/2023;30.960
01/08/2023;30.550
02/08/2023;30.600
03/08/2023;30.430
04/08/2023;30.140
05/08/2023;30.240
06/08/2023;30.270
07/08/2023;29.900
08/08/2023;29.880
09/08/2023;29.560
10/08/2023;29.450
11/08/2023;29.120
12/08/2023;29.280
13/08/2023;29.180
14/08/2023;28.810
15/08/2023;28.790
16/08/2023;28.590
17/08/2023;28.680
18/08/2023;28.390
19/08/2023;28.210
20/08/2023;28.250
21/08/2023;27.890
22/08/2023;27.770
23/08/2023;27.500
24/08/2023;27.280
25/08/2023;27.210
26/08/2023;26.790
27/08/2023;26.870
28/08/2023;26.680
29/08/2023;26.470
30/08/2023;26.020
31/08/2023;25.990
01/09/2023;25.900
02/09/2023;25.370
03/09/2023;25.650
04/09/2023;25.230
05/09/2023;25.080
06/09/2023;24.900
07/09/2023;24.880
08/09/2023;24.620
09/09/2023;24.550
10/09/2023;24.370
11/09/2023;24.270
12/09/2023;24.080
13/09/2023;24.090
14/09/2023;23.990
15/09/2023;23.870
16/09/2023;23.800
17/09/2023;23.710
18/09/2023;23.660
19/09/2023;23.440
20/09/2023;22.480
21/09/2023;23.530
22/09/2023;23.400
23/09/2023;23.080
24/09/2023;23.350
25/09/2023;23.220
26/09/2023;23.130
27/09/2023;23.210
28/09/2023;23.080
29/09/2023;23.230
30/09/2023;23.380
01/10/2023;23.350
02/10/2023;23.350
03/10/2023;23.410
04/10/2023;23.370
05/10/2023;23.280
06/10/2023;23.220
07/10/2023;23.260
08/10/2023;23.320
09/10/2023;23.340
10/10/2023;23.500
11/10/2023;22.950
12/10/2023;23.440
13/10/2023;23.450
14/10/2023;23.300
15/10/2023;23.280
16/10/2023;23.210
17/10/2023;23.110
18/10/2023;23.160
19/10/2023;23.020
20/10/2023;23.030
21/10/2023;23.070
22/10/2023;23.080
23/10/2023;22.910
24/10/2023;22.990
25/10/2023;22.930
26/10/2023;22.840
27/10/2023;23.060
28/10/2023;22.880
29/10/2023;23.060
30/10/2023;23.090
31/10/2023;23.340
01/11/2023;23.320
02/11/2023;23.720
03/11/2023;23.960
04/11/2023;24.420
05/11/2023;24.670
06/11/2023;25.120
07/11/2023;25.720
08/11/2023;26.000
09/11/2023;26.330
10/11/2023;26.750
11/11/2023;26.860
12/11/2023;27.000
13/11/2023;27.700
14/11/2023;27.880
15/11/2023;28.010
16/11/2023;28.250
17/11/2023;28.300
18/11/2023;28.520
19/11/2023;28.440
20/11/2023;28.680
21/11/2023;28.810
22/11/2023;28.840
23/11/2023;28.840
24/11/2023;28.930
25/11/2023;29.010
26/11/2023;28.980
27/11/2023;28.940
28/11/2023;29.190
29/11/2023;29.090
30/11/2023;29.240
01/12/2023;29.320
